,precision,recall,f1-score,support
Center,0.9009584664536742,0.94,0.9200652528548124,300.0
Donut,0.891566265060241,0.8809523809523809,0.8862275449101796,84.0
Edge-Loc,0.8446601941747572,0.87,0.8571428571428571,300.0
Edge-Ring,0.9337539432176656,0.9866666666666667,0.9594813614262561,300.0
Loc,0.8430493273542601,0.6266666666666667,0.7189292543021033,300.0
Scratch,0.7018348623853211,0.8547486033519553,0.7707808564231738,179.0
macro avg,0.8526371764409865,0.8598390529396115,0.8521045211765635,1463.0
weighted avg,0.8593619863240872,0.8571428571428571,0.8537925528298099,1463.0
accuracy,,,0.8571428571428571,1463.0
